"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"No censoring",1,0,0,1,3.11355377672219,3.11355377672219,0.113553776722187,0.113553776722187
"No censoring",1,0,0,2,3.11975187250303,3.11975187250303,0.119751872503032,0.119751872503032
"No censoring",1,0,0,3,3.22560615158561,3.22560615158561,0.225606151585608,0.225606151585608
"No censoring",1,0,0,4,2.94926162215952,2.94926162215952,-0.0507383778404793,-0.0507383778404793
"No censoring",1,0,0,5,2.89895834748945,2.89895834748945,-0.101041652510551,-0.101041652510551
"No censoring",1,0,0,6,2.96980253803487,2.96980253803487,-0.0301974619651317,-0.0301974619651317
"No censoring",1,0,0,7,3.07407717041764,3.07407717041764,0.0740771704176391,0.0740771704176391
"No censoring",1,0,0,8,3.07801101775121,3.07801101775121,0.0780110177512103,0.0780110177512103
"No censoring",1,0,0,9,3.1084653650102,3.1084653650102,0.108465365010203,0.108465365010203
"No censoring",1,0,0,10,2.88733311860106,2.88733311860106,-0.112666881398941,-0.112666881398941
"No censoring",1,0,0,11,3.01280213495873,3.01280213495873,0.0128021349587311,0.0128021349587311
"No censoring",1,0,0,12,2.86086039293132,2.86086039293132,-0.139139607068677,-0.139139607068677
"No censoring",1,0,0,13,3.02311187552664,3.02311187552664,0.0231118755266388,0.0231118755266388
"No censoring",1,0,0,14,2.9064521749601,2.9064521749601,-0.0935478250399027,-0.0935478250399027
"No censoring",1,0,0,15,2.88074159422974,2.88074159422974,-0.119258405770262,-0.119258405770262
"No censoring",1,0,0,16,3.20471807742093,3.20471807742093,0.204718077420933,0.204718077420933
"No censoring",1,0,0,17,2.75367744970245,2.75367744970245,-0.246322550297551,-0.246322550297551
"No censoring",1,0,0,18,3.06943897077921,3.06943897077921,0.0694389707792062,0.0694389707792062
"No censoring",1,0,0,19,2.94577427061323,2.94577427061323,-0.0542257293867738,-0.0542257293867738
"No censoring",1,0,0,20,2.89037217476096,2.89037217476096,-0.109627825239043,-0.109627825239043
"No censoring",1,0,0,21,2.94816088418032,2.94816088418032,-0.0518391158196798,-0.0518391158196798
"No censoring",1,0,0,22,2.97587187727382,2.97587187727382,-0.02412812272618,-0.02412812272618
"No censoring",1,0,0,23,3.12619935967186,3.12619935967186,0.12619935967186,0.12619935967186
"No censoring",1,0,0,24,2.98948936869293,2.98948936869293,-0.0105106313070724,-0.0105106313070724
"No censoring",1,0,0,25,3.09303607767532,3.09303607767532,0.0930360776753165,0.0930360776753165
"No censoring",1,0,0,26,3.09327822291487,3.09327822291487,0.0932782229148748,0.0932782229148748
"No censoring",1,0,0,27,3.02566361179762,3.02566361179762,0.0256636117976234,0.0256636117976234
"No censoring",1,0,0,28,2.98115052359833,2.98115052359833,-0.0188494764016651,-0.0188494764016651
